MonCon100,60,38,98,14
MonCon101,74,57,127,18
MonCon102,62,47,108,17
MonCon104,49,38,94,13
MonCon105,62,59,118,23
MonCon106,66,49,113,19
MonCon107,69,45,112,14
MonCon108,63,77,135,27
MonCon109,50,39,90,15
MonCon110,44,52,96,21
MonCon111,63,42,104,17
MonCon113,48,57,113,23
MonCon114,43,26,96,6
MonCon115,69,80,132,25
MonCon116,44,44,89,18
MonCon117,50,52,116,21
MonCon118,41,42,85,17
MonCon119,54,38,92,9
MonCon120,62,67,125,25
MonCon121,77,53,126,20
MonCon122,73,63,131,19
MonCon123,57,75,128,26
MonCon124,77,67,138,20
MonCon125,47,53,100,19
MonCon126,70,57,123,21
MonCon127,59,57,114,24
MonCon128,49,46,104,19
MonCon129,57,57,112,24
MonCon131,55,46,101,15
MonCon133,61,44,105,18
MonCon135,65,50,113,21
MonCon136,57,56,111,22
MonCon137,57,48,103,13
MonCon138,66,56,119,20
MonCon139,59,54,113,23
MonCon140,79,50,125,21
MonCon141,45,46,92,19
MonCon142,74,55,105,19
MonCon143,47,61,107,25
MonCon145,80,66,140,
MonCon147,59,48,106,20
MonCon148,57,52,108,22
MonCon149,59,61,117,24
MonCon150,58,71,125,25
MonCon151,49,47,95,17
MonCon152,67,44,111,14
MonCon153,80,53,129,18
MonCon154,53,29,84,5
MonCon155,53,61,112,25
MonCon156,57,76,129,28
MonCon157,59,68,127,25
MonCon158,65,64,125,23
MonCon159,76,61,132,23
MonCon161,50,36,88,14
MonCon162,61,55,114,23
MonCon163,53,62,113,25
MonCon164,40,38,81,
MonCon166,59,54,111,23
MonCon167,65,66,127,26
MonCon168,50,52,102,21
MonCon170,40,39,82,6
MonCon171,62,61,120,19
MonCon173,48,44,93,18
MonCon175,34,61,95,25
MonCon176,59,55,112,20
MonCon177,55,57,110,24
MonCon178,52,38,91,15
MonCon179,77,50,123,21
MonCon180,51,46,97,19
MonCon181,59,50,109,15
MonCon182,48,44,103,18
MonCon183,50,58,121,23
MonCon184,66,40,105,13
MonCon185,67,60,123,22
MonCon186,60,71,127,26
MonCon187,65,52,115,22
MonCon189,62,54,114,21
MonCon190,58,41,99,7
MonCon191,52,50,101,
MonCon192,73,50,120,13
MonCon194,55,46,101,19
MonCon196,50,53,100,21
MonCon197,63,56,118,23
MonCon198,46,38,90,15
MonCon199,55,40,95,16
MonCon200,57,52,108,22
MonCon201,51,54,104,19
MonCon202,46,42,89,15
MonCon204,61,52,111,20
MonCon206,69,53,119,18
